,Date,Cluster,Population,White,Black,Asian/Pacific,Native American,Dependency Ratio,M/F Ratio,Own/Rent Ratio,HS Max %,College Educated %,Native Born %,Naturalized %,No Citizen %,Poverty Below 100,Poverty 100-149,Mean Income,Median Rent Price,Median Price Asked,Total Crimes,Violent Crimes,Theft Crimes,Population Q-Score,Poverty Q-Score,Income Q-Score,Home Q-Score,Crime Q-Score,Total Q-Score
0,2011-01,Cluster 1,17222.0,12990.0,2070.0,1202.0,74.0,0.18887201435869114,0.9997677659080353,0.6945710322964137,0.10255723657785513,0.8974427634221449,0.784461734990129,0.07856230402972941,0.13697596098014167,969.0,699.0,113868.0,1308.81,3076200.0,55,4,51,2.0,2.0,2.0,4.0,-1.0,2.0
1,2011-02,Cluster 1,17222.0,12990.0,2070.0,1202.0,74.0,0.18887201435869114,0.9997677659080353,0.6945710322964137,0.10255723657785513,0.8974427634221449,0.784461734990129,0.07856230402972941,0.13697596098014167,969.0,699.0,113868.0,1308.81,3042000.0,70,3,67,2.0,2.0,2.0,4.0,-3.0,1.5999999999999999
2,2011-03,Cluster 1,17222.0,12990.0,2070.0,1202.0,74.0,0.18887201435869114,0.9997677659080353,0.6945710322964137,0.10255723657785513,0.8974427634221449,0.784461734990129,0.07856230402972941,0.13697596098014167,969.0,699.0,113868.0,1308.81,3036800.0,87,2,85,2.0,2.0,2.0,4.0,-2.0,1.7999999999999998
3,2011-04,Cluster 1,17222.0,12990.0,2070.0,1202.0,74.0,0.18887201435869114,0.9997677659080353,0.6945710322964137,0.10255723657785513,0.8974427634221449,0.784461734990129,0.07856230402972941,0.13697596098014167,969.0,699.0,113868.0,1308.81,3066100.0,59,4,55,2.0,2.0,2.0,4.0,-2.0,1.7999999999999998
4,2011-05,Cluster 1,17222.0,12990.0,2070.0,1202.0,74.0,0.18887201435869114,0.9997677659080353,0.6945710322964137,0.10255723657785513,0.8974427634221449,0.784461734990129,0.07856230402972941,0.13697596098014167,969.0,699.0,113868.0,1308.81,3098900.0,104,8,96,2.0,2.0,2.0,4.0,-3.0,1.5999999999999999
5,2011-06,Cluster 1,17222.0,12990.0,2070.0,1202.0,74.0,0.18887201435869114,0.9997677659080353,0.6945710322964137,0.10255723657785513,0.8974427634221449,0.784461734990129,0.07856230402972941,0.13697596098014167,969.0,699.0,113868.0,1308.81,3118600.0,105,5,100,2.0,2.0,2.0,4.0,-2.0,1.7999999999999998
6,2011-07,Cluster 1,17222.0,12990.0,2070.0,1202.0,74.0,0.18887201435869114,0.9997677659080353,0.6945710322964137,0.10255723657785513,0.8974427634221449,0.784461734990129,0.07856230402972941,0.13697596098014167,969.0,699.0,113868.0,1308.81,3122400.0,104,11,93,2.0,2.0,2.0,4.0,-3.0,1.5999999999999999
7,2011-08,Cluster 1,17222.0,12990.0,2070.0,1202.0,74.0,0.18887201435869114,0.9997677659080353,0.6945710322964137,0.10255723657785513,0.8974427634221449,0.784461734990129,0.07856230402972941,0.13697596098014167,969.0,699.0,113868.0,1308.81,3111600.0,105,0,105,2.0,2.0,2.0,4.0,-3.0,1.5999999999999999
8,2011-09,Cluster 1,17222.0,12990.0,2070.0,1202.0,74.0,0.18887201435869114,0.9997677659080353,0.6945710322964137,0.10255723657785513,0.8974427634221449,0.784461734990129,0.07856230402972941,0.13697596098014167,969.0,699.0,113868.0,1308.81,3096900.0,68,2,66,2.0,2.0,2.0,4.0,-1.0,2.0
9,2011-10,Cluster 1,17222.0,12990.0,2070.0,1202.0,74.0,0.18887201435869114,0.9997677659080353,0.6945710322964137,0.10255723657785513,0.8974427634221449,0.784461734990129,0.07856230402972941,0.13697596098014167,969.0,699.0,113868.0,1308.81,3083400.0,87,2,85,2.0,2.0,2.0,4.0,-2.0,1.7999999999999998
10,2011-11,Cluster 1,17222.0,12990.0,2070.0,1202.0,74.0,0.18887201435869114,0.9997677659080353,0.6945710322964137,0.10255723657785513,0.8974427634221449,0.784461734990129,0.07856230402972941,0.13697596098014167,969.0,699.0,113868.0,1308.81,3075500.0,96,4,92,2.0,2.0,2.0,4.0,-2.0,1.7999999999999998
11,2011-12,Cluster 1,17222.0,12990.0,2070.0,1202.0,74.0,0.18887201435869114,0.9997677659080353,0.6945710322964137,0.10255723657785513,0.8974427634221449,0.784461734990129,0.07856230402972941,0.13697596098014167,969.0,699.0,113868.0,1308.81,3084000.0,81,3,78,2.0,2.0,2.0,4.0,-1.0,2.0
12,2012-01,Cluster 1,17615.0,13293.0,2019.0,1334.0,79.0,0.17121010638297873,1.0494473531122746,0.6929034756510795,0.09542525773195876,0.9045747422680412,0.7896111268804996,0.08010218563724099,0.13028668748225944,1118.0,606.0,117899.0,1371.16,3122000.0,69,3,66,2.0,2.0,2.0,4.0,-1.0,2.0
13,2012-02,Cluster 1,17615.0,13293.0,2019.0,1334.0,79.0,0.17121010638297873,1.0494473531122746,0.6929034756510795,0.09542525773195876,0.9045747422680412,0.7896111268804996,0.08010218563724099,0.13028668748225944,1118.0,606.0,117899.0,1371.16,3149400.0,61,2,59,2.0,2.0,2.0,4.0,-2.0,1.7999999999999998
14,2012-03,Cluster 1,17615.0,13293.0,2019.0,1334.0,79.0,0.17121010638297873,1.0494473531122746,0.6929034756510795,0.09542525773195876,0.9045747422680412,0.7896111268804996,0.08010218563724099,0.13028668748225944,1118.0,606.0,117899.0,1371.16,3145400.0,67,4,63,2.0,2.0,2.0,4.0,-2.0,1.7999999999999998
15,2012-04,Cluster 1,17615.0,13293.0,2019.0,1334.0,79.0,0.17121010638297873,1.0494473531122746,0.6929034756510795,0.09542525773195876,0.9045747422680412,0.7896111268804996,0.08010218563724099,0.13028668748225944,1118.0,606.0,117899.0,1371.16,3123400.0,68,4,64,2.0,2.0,2.0,4.0,-1.0,2.0
