,n_cluster,year_month,num_crimes,violent_cm,theft_cm,m_score
560,Cluster 18,2012-09,159,14,145,88.8409090909091
561,Cluster 18,2012-10,168,7,161,93.38636363636364
562,Cluster 18,2012-11,139,11,128,73.56818181818181
563,Cluster 18,2012-12,136,10,126,68.3409090909091
564,Cluster 18,2013-01,128,10,118,64.27272727272728
565,Cluster 18,2013-02,91,9,82,40.20454545454545
566,Cluster 18,2013-03,90,8,82,31.522727272727273
567,Cluster 18,2013-04,124,14,110,62.54545454545455
568,Cluster 18,2013-05,151,19,132,78.63636363636364
569,Cluster 18,2013-06,163,20,143,90.72727272727273
570,Cluster 18,2013-07,131,12,119,58.68181818181819
571,Cluster 18,2013-08,195,14,181,120.61363636363636
572,Cluster 18,2013-09,195,16,179,118.88636363636364
573,Cluster 18,2013-10,180,12,168,105.54545454545455
574,Cluster 18,2013-11,171,7,164,104.02272727272727
575,Cluster 18,2013-12,141,7,134,72.38636363636364
576,Cluster 18,2014-01,157,15,142,91.97727272727273
577,Cluster 18,2014-02,101,8,93,51.04545454545455
578,Cluster 18,2014-03,128,12,116,72.22727272727272
579,Cluster 18,2014-04,142,14,128,79.8409090909091
580,Cluster 18,2014-05,133,7,126,61.13636363636364
581,Cluster 18,2014-06,206,22,184,129.9318181818182
582,Cluster 18,2014-07,156,16,140,71.8409090909091
583,Cluster 18,2014-08,179,10,169,92.0
584,Cluster 18,2014-09,187,13,174,102.88636363636364
585,Cluster 18,2014-10,194,17,177,106.9090909090909
586,Cluster 18,2014-11,174,10,164,98.56818181818181
587,Cluster 18,2014-12,133,15,118,63.5
588,Cluster 18,2015-01,122,9,113,56.727272727272734
589,Cluster 18,2015-02,88,6,82,45.09090909090909
590,Cluster 18,2015-03,106,10,96,49.75
591,Cluster 18,2015-04,181,20,161,114.45454545454545
592,Cluster 18,2015-05,177,21,156,101.0909090909091
593,Cluster 18,2015-06,175,9,166,97.70454545454545
594,Cluster 18,2015-07,172,9,163,89.5
595,Cluster 18,2015-08,157,12,145,78.43181818181819
596,Cluster 18,2015-09,159,12,147,85.18181818181819
597,Cluster 18,2015-10,101,5,96,23.772727272727266
598,Cluster 18,2015-11,127,7,120,55.90909090909091
599,Cluster 18,2015-12,141,10,131,64.61363636363636
600,Cluster 19,2011-01,28,3,25,-23.227272727272727
601,Cluster 19,2011-02,32,1,31,-16.340909090909093
602,Cluster 19,2011-03,30,3,27,-28.022727272727273
603,Cluster 19,2011-04,32,3,29,-23.113636363636367
604,Cluster 19,2011-05,43,4,39,-21.272727272727266
605,Cluster 19,2011-06,33,5,28,-33.93181818181819
606,Cluster 19,2011-07,33,3,30,-35.522727272727266
607,Cluster 19,2011-08,26,3,23,-41.61363636363636
608,Cluster 19,2011-09,29,1,28,-38.36363636363636
609,Cluster 19,2011-10,37,4,33,-36.93181818181819
610,Cluster 19,2011-11,38,0,38,-30.36363636363636
611,Cluster 19,2011-12,36,5,31,-33.56818181818181
612,Cluster 19,2012-01,50,2,48,-17.454545454545453
613,Cluster 19,2012-02,19,1,18,-35.06818181818182
614,Cluster 19,2012-03,32,5,27,-24.863636363636367
615,Cluster 19,2012-04,30,5,25,-28.204545454545453
616,Cluster 19,2012-05,32,1,31,-34.56818181818181
617,Cluster 19,2012-06,41,6,35,-26.795454545454547
618,Cluster 19,2012-07,33,7,26,-40.18181818181819
619,Cluster 19,2012-08,40,3,37,-37.65909090909091
620,Cluster 19,2012-09,36,3,33,-34.15909090909091
621,Cluster 19,2012-10,22,1,21,-52.61363636363636
622,Cluster 19,2012-11,32,3,29,-33.43181818181819
623,Cluster 19,2012-12,34,3,31,-33.65909090909091
624,Cluster 19,2013-01,24,2,22,-39.72727272727273
625,Cluster 19,2013-02,32,5,27,-18.795454545454547
626,Cluster 19,2013-03,13,0,13,-45.47727272727273
627,Cluster 19,2013-04,22,2,20,-39.45454545454545
628,Cluster 19,2013-05,34,3,31,-38.36363636363636
629,Cluster 19,2013-06,25,4,21,-47.272727272727266
630,Cluster 19,2013-07,43,6,37,-29.318181818181813
631,Cluster 19,2013-08,39,4,35,-35.38636363636364
632,Cluster 19,2013-09,36,2,34,-40.11363636363636
633,Cluster 19,2013-10,31,2,29,-43.45454545454545
634,Cluster 19,2013-11,39,4,35,-27.977272727272734
635,Cluster 19,2013-12,39,2,37,-29.61363636363636
636,Cluster 19,2014-01,39,2,37,-26.022727272727266
637,Cluster 19,2014-02,28,1,27,-21.954545454545453
638,Cluster 19,2014-03,25,4,21,-30.772727272727273
639,Cluster 19,2014-04,26,3,23,-36.15909090909091
640,Cluster 19,2014-05,38,1,37,-33.86363636363636
641,Cluster 19,2014-06,41,4,37,-35.06818181818181
642,Cluster 19,2014-07,53,6,47,-31.159090909090907
643,Cluster 19,2014-08,52,6,46,-35.0
644,Cluster 19,2014-09,50,3,47,-34.11363636363636
645,Cluster 19,2014-10,54,8,46,-33.09090909090909
646,Cluster 19,2014-11,45,0,45,-30.431818181818187
647,Cluster 19,2014-12,57,4,53,-12.5
648,Cluster 19,2015-01,36,3,33,-29.272727272727266
649,Cluster 19,2015-02,26,2,24,-16.909090909090907
650,Cluster 19,2015-03,34,4,30,-22.25
651,Cluster 19,2015-04,49,4,45,-17.545454545454547
652,Cluster 19,2015-05,63,7,56,-12.909090909090907
653,Cluster 19,2015-06,38,4,34,-39.29545454545455
654,Cluster 19,2015-07,55,5,50,-27.5
655,Cluster 19,2015-08,47,3,44,-31.568181818181813
656,Cluster 19,2015-09,53,4,49,-20.818181818181813
657,Cluster 19,2015-10,33,4,29,-44.227272727272734
658,Cluster 19,2015-11,36,4,32,-35.09090909090909
659,Cluster 19,2015-12,43,5,38,-33.38636363636364
660,Cluster 2,2011-01,148,9,139,96.77272727272728
661,Cluster 2,2011-02,199,12,187,150.6590909090909
662,Cluster 2,2011-03,223,13,210,164.97727272727272
663,Cluster 2,2011-04,193,14,179,137.88636363636363
664,Cluster 2,2011-05,218,20,198,153.72727272727275
665,Cluster 2,2011-06,235,13,222,168.0681818181818
666,Cluster 2,2011-07,245,18,227,176.47727272727275
667,Cluster 2,2011-08,258,16,242,190.38636363636363
668,Cluster 2,2011-09,247,11,236,179.63636363636363
669,Cluster 2,2011-10,284,10,274,210.0681818181818
670,Cluster 2,2011-11,292,8,284,223.63636363636363
671,Cluster 2,2011-12,251,11,240,181.4318181818182
672,Cluster 2,2012-01,240,15,225,172.54545454545456
673,Cluster 2,2012-02,175,8,167,120.93181818181819
674,Cluster 2,2012-03,186,9,177,129.13636363636363
675,Cluster 2,2012-04,195,14,181,136.79545454545456
676,Cluster 2,2012-05,237,13,224,170.4318181818182
677,Cluster 2,2012-06,251,16,235,183.20454545454544
678,Cluster 2,2012-07,268,14,254,194.8181818181818
679,Cluster 2,2012-08,234,12,222,156.3409090909091
680,Cluster 2,2012-09,230,10,220,159.8409090909091
681,Cluster 2,2012-10,291,17,274,216.38636363636363
682,Cluster 2,2012-11,227,8,219,161.5681818181818
683,Cluster 2,2012-12,240,7,233,172.3409090909091
684,Cluster 2,2013-01,192,11,181,128.27272727272728
685,Cluster 2,2013-02,191,9,182,140.20454545454544
686,Cluster 2,2013-03,250,16,234,191.52272727272728
687,Cluster 2,2013-04,221,11,210,159.54545454545456
688,Cluster 2,2013-05,281,13,268,208.63636363636363
689,Cluster 2,2013-06,325,16,309,252.72727272727275
690,Cluster 2,2013-07,267,13,254,194.6818181818182
691,Cluster 2,2013-08,274,12,262,199.61363636363637
692,Cluster 2,2013-09,320,16,304,243.88636363636363
693,Cluster 2,2013-10,311,12,299,236.54545454545456
694,Cluster 2,2013-11,272,13,259,205.02272727272725
695,Cluster 2,2013-12,268,14,254,199.38636363636363
696,Cluster 2,2014-01,219,13,206,153.97727272727275
697,Cluster 2,2014-02,178,11,167,128.04545454545456
698,Cluster 2,2014-03,194,8,186,138.22727272727272
699,Cluster 2,2014-04,222,16,206,159.8409090909091
700,Cluster 2,2014-05,263,15,248,191.13636363636363
701,Cluster 2,2014-06,263,17,246,186.9318181818182
702,Cluster 2,2014-07,346,21,325,261.8409090909091
703,Cluster 2,2014-08,336,21,315,249.0
704,Cluster 2,2014-09,303,14,289,218.88636363636363
705,Cluster 2,2014-10,293,15,278,205.9090909090909
706,Cluster 2,2014-11,288,5,283,212.5681818181818
707,Cluster 2,2014-12,250,9,241,180.5
708,Cluster 2,2015-01,227,12,215,161.72727272727275
709,Cluster 2,2015-02,166,12,154,123.0909090909091
710,Cluster 2,2015-03,236,14,222,179.75
711,Cluster 2,2015-04,244,15,229,177.45454545454544
712,Cluster 2,2015-05,315,10,305,239.0909090909091
713,Cluster 2,2015-06,354,13,341,276.70454545454544
714,Cluster 2,2015-07,315,15,300,232.5
715,Cluster 2,2015-08,309,21,288,230.4318181818182
716,Cluster 2,2015-09,293,9,284,219.1818181818182
717,Cluster 2,2015-10,246,13,233,168.77272727272725
718,Cluster 2,2015-11,250,14,236,178.9090909090909
719,Cluster 2,2015-12,227,12,215,150.61363636363637
720,Cluster 20,2011-01,25,0,25,-26.227272727272727
721,Cluster 20,2011-02,33,0,33,-15.340909090909093
722,Cluster 20,2011-03,32,0,32,-26.022727272727273
723,Cluster 20,2011-04,28,3,25,-27.113636363636367
724,Cluster 20,2011-05,31,2,29,-33.272727272727266
725,Cluster 20,2011-06,36,3,33,-30.931818181818187
726,Cluster 20,2011-07,34,1,33,-34.522727272727266
727,Cluster 20,2011-08,37,1,36,-30.61363636363636
728,Cluster 20,2011-09,28,1,27,-39.36363636363636
729,Cluster 20,2011-10,50,2,48,-23.931818181818187
730,Cluster 20,2011-11,35,1,34,-33.36363636363636
731,Cluster 20,2011-12,34,2,32,-35.56818181818181
732,Cluster 20,2012-01,60,5,55,-7.454545454545453
733,Cluster 20,2012-02,35,3,32,-19.06818181818182
734,Cluster 20,2012-03,26,0,26,-30.863636363636367
735,Cluster 20,2012-04,25,3,22,-33.20454545454545
736,Cluster 20,2012-05,43,3,40,-23.568181818181813
737,Cluster 20,2012-06,40,1,39,-27.795454545454547
738,Cluster 20,2012-07,39,2,37,-34.18181818181819
739,Cluster 20,2012-08,53,4,49,-24.659090909090907
740,Cluster 20,2012-09,35,2,33,-35.15909090909091
741,Cluster 20,2012-10,42,2,40,-32.61363636363636
742,Cluster 20,2012-11,37,1,36,-28.431818181818187
743,Cluster 20,2012-12,29,4,25,-38.65909090909091
744,Cluster 20,2013-01,42,0,42,-21.727272727272727
745,Cluster 20,2013-02,34,1,33,-16.795454545454547
746,Cluster 20,2013-03,22,2,20,-36.47727272727273
747,Cluster 20,2013-04,34,1,33,-27.454545454545453
748,Cluster 20,2013-05,37,2,35,-35.36363636363636
749,Cluster 20,2013-06,27,2,25,-45.272727272727266
750,Cluster 20,2013-07,41,0,41,-31.318181818181813
751,Cluster 20,2013-08,37,4,33,-37.38636363636364
752,Cluster 20,2013-09,31,2,29,-45.11363636363636
753,Cluster 20,2013-10,34,4,30,-40.45454545454545
754,Cluster 20,2013-11,30,1,29,-36.977272727272734
755,Cluster 20,2013-12,27,6,21,-41.61363636363636
756,Cluster 20,2014-01,40,3,37,-25.022727272727266
757,Cluster 20,2014-02,29,0,29,-20.954545454545453
758,Cluster 20,2014-03,33,2,31,-22.772727272727273
759,Cluster 20,2014-04,34,3,31,-28.159090909090907
760,Cluster 20,2014-05,67,3,64,-4.86363636363636
761,Cluster 20,2014-06,46,2,44,-30.068181818181813
762,Cluster 20,2014-07,40,1,39,-44.15909090909091
763,Cluster 20,2014-08,54,0,54,-33.0
764,Cluster 20,2014-09,56,1,55,-28.11363636363636
765,Cluster 20,2014-10,56,2,54,-31.090909090909093
766,Cluster 20,2014-11,49,4,45,-26.431818181818187
767,Cluster 20,2014-12,35,1,34,-34.5
768,Cluster 20,2015-01,39,2,37,-26.272727272727266
769,Cluster 20,2015-02,18,2,16,-24.909090909090907
770,Cluster 20,2015-03,38,0,38,-18.25
771,Cluster 20,2015-04,57,5,52,-9.545454545454547
772,Cluster 20,2015-05,34,4,30,-41.90909090909091
773,Cluster 20,2015-06,36,2,34,-41.29545454545455
774,Cluster 20,2015-07,42,1,41,-40.5
775,Cluster 20,2015-08,47,4,43,-31.568181818181813
776,Cluster 20,2015-09,32,3,29,-41.81818181818181
777,Cluster 20,2015-10,38,2,36,-39.227272727272734
778,Cluster 20,2015-11,43,2,41,-28.090909090909093
779,Cluster 20,2015-12,45,3,42,-31.38636363636364
780,Cluster 21,2011-01,84,7,77,32.77272727272727
781,Cluster 21,2011-02,72,4,68,23.659090909090907
782,Cluster 21,2011-03,100,12,88,41.97727272727273
783,Cluster 21,2011-04,90,12,78,34.88636363636363
784,Cluster 21,2011-05,83,5,78,18.727272727272734
785,Cluster 21,2011-06,118,7,111,51.06818181818181
786,Cluster 21,2011-07,122,13,109,53.477272727272734
787,Cluster 21,2011-08,97,12,85,29.38636363636364
788,Cluster 21,2011-09,113,7,106,45.63636363636364
789,Cluster 21,2011-10,127,14,113,53.06818181818181
790,Cluster 21,2011-11,107,8,99,38.63636363636364
791,Cluster 21,2011-12,115,8,107,45.43181818181819
792,Cluster 21,2012-01,135,9,126,67.54545454545455
793,Cluster 21,2012-02,84,7,77,29.93181818181818
794,Cluster 21,2012-03,95,10,85,38.13636363636363
795,Cluster 21,2012-04,110,14,96,51.79545454545455
796,Cluster 21,2012-05,107,7,100,40.43181818181819
797,Cluster 21,2012-06,107,11,96,39.20454545454545
798,Cluster 21,2012-07,150,6,144,76.81818181818181
799,Cluster 21,2012-08,155,14,141,77.3409090909091
800,Cluster 21,2012-09,137,4,133,66.8409090909091
801,Cluster 21,2012-10,130,11,119,55.38636363636364
802,Cluster 21,2012-11,117,8,109,51.56818181818181
803,Cluster 21,2012-12,89,5,84,21.340909090909093
804,Cluster 21,2013-01,103,9,94,39.27272727272727
805,Cluster 21,2013-02,84,3,81,33.20454545454545
806,Cluster 21,2013-03,86,8,78,27.522727272727273
807,Cluster 21,2013-04,97,6,91,35.54545454545455
808,Cluster 21,2013-05,105,3,102,32.63636363636364
809,Cluster 21,2013-06,89,11,78,16.727272727272734
810,Cluster 21,2013-07,106,11,95,33.68181818181819
811,Cluster 21,2013-08,113,13,100,38.61363636363636
812,Cluster 21,2013-09,105,6,99,28.88636363636364
813,Cluster 21,2013-10,101,9,92,26.545454545454547
814,Cluster 21,2013-11,76,9,67,9.022727272727266
815,Cluster 21,2013-12,99,6,93,30.38636363636364
816,Cluster 21,2014-01,110,9,101,44.977272727272734
817,Cluster 21,2014-02,66,3,63,16.045454545454547
818,Cluster 21,2014-03,75,7,68,19.227272727272727
819,Cluster 21,2014-04,100,11,89,37.84090909090909
820,Cluster 21,2014-05,127,13,114,55.13636363636364
821,Cluster 21,2014-06,135,9,126,58.93181818181819
822,Cluster 21,2014-07,117,12,105,32.84090909090909
823,Cluster 21,2014-08,152,7,145,65.0
824,Cluster 21,2014-09,154,9,145,69.88636363636364
825,Cluster 21,2014-10,166,9,157,78.9090909090909
826,Cluster 21,2014-11,144,7,137,68.56818181818181
827,Cluster 21,2014-12,116,7,109,46.5
828,Cluster 21,2015-01,111,4,107,45.727272727272734
829,Cluster 21,2015-02,69,7,62,26.090909090909093
830,Cluster 21,2015-03,86,7,79,29.75
831,Cluster 21,2015-04,122,6,116,55.45454545454545
832,Cluster 21,2015-05,138,17,121,62.09090909090909
833,Cluster 21,2015-06,138,13,125,60.70454545454545
834,Cluster 21,2015-07,134,12,122,51.5
835,Cluster 21,2015-08,134,12,122,55.43181818181819
836,Cluster 21,2015-09,114,4,110,40.18181818181819
837,Cluster 21,2015-10,124,5,119,46.772727272727266
838,Cluster 21,2015-11,87,10,77,15.909090909090907
839,Cluster 21,2015-12,121,9,112,44.61363636363636
840,Cluster 22,2011-01,57,2,55,5.772727272727273
841,Cluster 22,2011-02,85,7,78,36.65909090909091
842,Cluster 22,2011-03,82,9,73,23.977272727272727
843,Cluster 22,2011-04,78,9,69,22.886363636363633
844,Cluster 22,2011-05,87,6,81,22.727272727272734
845,Cluster 22,2011-06,92,5,87,25.068181818181813
846,Cluster 22,2011-07,99,12,87,30.477272727272734
847,Cluster 22,2011-08,90,10,80,22.38636363636364
848,Cluster 22,2011-09,81,11,70,13.63636363636364
849,Cluster 22,2011-10,107,10,97,33.06818181818181
850,Cluster 22,2011-11,91,3,88,22.63636363636364
851,Cluster 22,2011-12,86,12,74,16.431818181818187
852,Cluster 22,2012-01,77,7,70,9.545454545454547
853,Cluster 22,2012-02,81,9,72,26.93181818181818
854,Cluster 22,2012-03,83,7,76,26.136363636363633
855,Cluster 22,2012-04,95,13,82,36.79545454545455
856,Cluster 22,2012-05,109,6,103,42.43181818181819
857,Cluster 22,2012-06,83,11,72,15.204545454545453
858,Cluster 22,2012-07,102,7,95,28.818181818181813
859,Cluster 22,2012-08,102,9,93,24.340909090909093
860,Cluster 22,2012-09,93,12,81,22.840909090909093
861,Cluster 22,2012-10,87,7,80,12.38636363636364
862,Cluster 22,2012-11,89,3,86,23.568181818181813
863,Cluster 22,2012-12,87,7,80,19.340909090909093
864,Cluster 22,2013-01,101,5,96,37.27272727272727
865,Cluster 22,2013-02,57,5,52,6.204545454545453
866,Cluster 22,2013-03,78,3,75,19.522727272727273
867,Cluster 22,2013-04,68,8,60,6.545454545454547
868,Cluster 22,2013-05,116,6,110,43.63636363636364
869,Cluster 22,2013-06,112,12,100,39.727272727272734
870,Cluster 22,2013-07,129,10,119,56.68181818181819
871,Cluster 22,2013-08,134,6,128,59.61363636363636
872,Cluster 22,2013-09,105,3,102,28.88636363636364
873,Cluster 22,2013-10,95,4,91,20.545454545454547
874,Cluster 22,2013-11,107,5,102,40.022727272727266
875,Cluster 22,2013-12,95,6,89,26.38636363636364
876,Cluster 22,2014-01,107,8,99,41.977272727272734
877,Cluster 22,2014-02,73,7,66,23.045454545454547
878,Cluster 22,2014-03,79,5,74,23.227272727272727
879,Cluster 22,2014-04,99,6,93,36.84090909090909
880,Cluster 22,2014-05,111,5,106,39.13636363636364
881,Cluster 22,2014-06,99,1,98,22.931818181818187
882,Cluster 22,2014-07,124,2,122,39.84090909090909
883,Cluster 22,2014-08,158,11,147,71.0
884,Cluster 22,2014-09,150,12,138,65.88636363636364
885,Cluster 22,2014-10,144,7,137,56.90909090909091
886,Cluster 22,2014-11,89,3,86,13.568181818181813
887,Cluster 22,2014-12,119,6,113,49.5
888,Cluster 22,2015-01,94,2,92,28.727272727272734
889,Cluster 22,2015-02,75,3,72,32.09090909090909
890,Cluster 22,2015-03,123,2,121,66.75
891,Cluster 22,2015-04,112,5,107,45.45454545454545
892,Cluster 22,2015-05,133,9,124,57.09090909090909
893,Cluster 22,2015-06,106,6,100,28.704545454545453
894,Cluster 22,2015-07,131,17,114,48.5
895,Cluster 22,2015-08,117,11,106,38.43181818181819
896,Cluster 22,2015-09,113,10,103,39.18181818181819
897,Cluster 22,2015-10,158,9,149,80.77272727272727
898,Cluster 22,2015-11,102,5,97,30.909090909090907
899,Cluster 22,2015-12,120,5,115,43.61363636363636
900,Cluster 23,2011-01,86,13,73,34.77272727272727
901,Cluster 23,2011-02,69,13,56,20.659090909090907
902,Cluster 23,2011-03,92,15,77,33.97727272727273
903,Cluster 23,2011-04,75,6,69,19.886363636363633
904,Cluster 23,2011-05,109,18,91,44.727272727272734
905,Cluster 23,2011-06,114,13,101,47.06818181818181
906,Cluster 23,2011-07,91,13,78,22.477272727272734
907,Cluster 23,2011-08,89,13,76,21.38636363636364
908,Cluster 23,2011-09,129,19,110,61.63636363636364
909,Cluster 23,2011-10,118,13,105,44.06818181818181
910,Cluster 23,2011-11,84,10,74,15.63636363636364
911,Cluster 23,2011-12,101,12,89,31.431818181818187
912,Cluster 23,2012-01,102,13,89,34.54545454545455
913,Cluster 23,2012-02,73,9,64,18.93181818181818
914,Cluster 23,2012-03,79,12,67,22.136363636363633
915,Cluster 23,2012-04,78,17,61,19.795454545454547
916,Cluster 23,2012-05,104,10,94,37.43181818181819
917,Cluster 23,2012-06,131,19,112,63.20454545454545
918,Cluster 23,2012-07,138,22,116,64.81818181818181
919,Cluster 23,2012-08,141,18,123,63.34090909090909
920,Cluster 23,2012-09,124,22,102,53.84090909090909
921,Cluster 23,2012-10,118,14,104,43.38636363636364
922,Cluster 23,2012-11,99,12,87,33.56818181818181
923,Cluster 23,2012-12,118,14,104,50.34090909090909
924,Cluster 23,2013-01,103,14,89,39.27272727272727
925,Cluster 23,2013-02,91,14,77,40.20454545454545
926,Cluster 23,2013-03,108,10,98,49.52272727272727
927,Cluster 23,2013-04,108,11,97,46.54545454545455
928,Cluster 23,2013-05,119,18,101,46.63636363636364
929,Cluster 23,2013-06,117,22,95,44.727272727272734
930,Cluster 23,2013-07,115,13,102,42.68181818181819
931,Cluster 23,2013-08,111,11,100,36.61363636363636
932,Cluster 23,2013-09,127,14,113,50.88636363636364
933,Cluster 23,2013-10,121,12,109,46.54545454545455
934,Cluster 23,2013-11,94,8,86,27.022727272727266
935,Cluster 23,2013-12,111,7,104,42.38636363636364
936,Cluster 23,2014-01,87,7,80,21.977272727272734
937,Cluster 23,2014-02,79,8,71,29.045454545454547
938,Cluster 23,2014-03,101,17,84,45.22727272727273
939,Cluster 23,2014-04,105,18,87,42.84090909090909
940,Cluster 23,2014-05,125,13,112,53.13636363636364
941,Cluster 23,2014-06,118,15,103,41.93181818181819
942,Cluster 23,2014-07,152,19,133,67.8409090909091
943,Cluster 23,2014-08,144,17,127,57.0
944,Cluster 23,2014-09,157,13,144,72.88636363636364
945,Cluster 23,2014-10,138,20,118,50.90909090909091
946,Cluster 23,2014-11,115,26,89,39.56818181818181
947,Cluster 23,2014-12,106,13,93,36.5
948,Cluster 23,2015-01,137,12,125,71.72727272727273
949,Cluster 23,2015-02,66,11,55,23.090909090909093
950,Cluster 23,2015-03,108,23,85,51.75
951,Cluster 23,2015-04,111,26,85,44.45454545454545
952,Cluster 23,2015-05,126,15,111,50.09090909090909
953,Cluster 23,2015-06,124,15,109,46.70454545454545
954,Cluster 23,2015-07,146,19,127,63.5
955,Cluster 23,2015-08,109,19,90,30.431818181818187
956,Cluster 23,2015-09,135,19,116,61.18181818181819
957,Cluster 23,2015-10,108,15,93,30.772727272727266
958,Cluster 23,2015-11,110,13,97,38.90909090909091
959,Cluster 23,2015-12,123,16,107,46.61363636363636
960,Cluster 24,2011-01,24,0,24,-27.227272727272727
961,Cluster 24,2011-02,37,2,35,-11.340909090909093
962,Cluster 24,2011-03,34,2,32,-24.022727272727273
963,Cluster 24,2011-04,26,2,24,-29.113636363636367
964,Cluster 24,2011-05,37,2,35,-27.272727272727266
965,Cluster 24,2011-06,34,2,32,-32.93181818181819
966,Cluster 24,2011-07,39,6,33,-29.522727272727266
967,Cluster 24,2011-08,29,0,29,-38.61363636363636
968,Cluster 24,2011-09,31,0,31,-36.36363636363636
969,Cluster 24,2011-10,41,1,40,-32.93181818181819
970,Cluster 24,2011-11,33,2,31,-35.36363636363636
971,Cluster 24,2011-12,29,1,28,-40.56818181818181
972,Cluster 24,2012-01,26,2,24,-41.45454545454545
973,Cluster 24,2012-02,32,0,32,-22.06818181818182
974,Cluster 24,2012-03,27,1,26,-29.863636363636367
975,Cluster 24,2012-04,31,2,29,-27.204545454545453
976,Cluster 24,2012-05,43,4,39,-23.568181818181813
977,Cluster 24,2012-06,33,4,29,-34.79545454545455
978,Cluster 24,2012-07,39,4,35,-34.18181818181819
979,Cluster 24,2012-08,50,3,47,-27.659090909090907
980,Cluster 24,2012-09,41,3,38,-29.159090909090907
981,Cluster 24,2012-10,43,4,39,-31.61363636363636
982,Cluster 24,2012-11,27,1,26,-38.43181818181819
983,Cluster 24,2012-12,38,3,35,-29.659090909090907
984,Cluster 24,2013-01,30,3,27,-33.72727272727273
985,Cluster 24,2013-02,43,3,40,-7.795454545454547
986,Cluster 24,2013-03,27,1,26,-31.477272727272727
987,Cluster 24,2013-04,30,1,29,-31.454545454545453
988,Cluster 24,2013-05,46,1,45,-26.36363636363636
989,Cluster 24,2013-06,40,3,37,-32.272727272727266
990,Cluster 24,2013-07,45,4,41,-27.318181818181813
991,Cluster 24,2013-08,46,7,39,-28.38636363636364
992,Cluster 24,2013-09,42,2,40,-34.11363636363636
993,Cluster 24,2013-10,47,1,46,-27.454545454545453
994,Cluster 24,2013-11,30,2,28,-36.977272727272734
995,Cluster 24,2013-12,41,0,41,-27.61363636363636
996,Cluster 24,2014-01,42,3,39,-23.022727272727266
997,Cluster 24,2014-02,25,1,24,-24.954545454545453
998,Cluster 24,2014-03,26,1,25,-29.772727272727273
999,Cluster 24,2014-04,33,1,32,-29.159090909090907
1000,Cluster 24,2014-05,47,5,42,-24.86363636363636
1001,Cluster 24,2014-06,42,0,42,-34.06818181818181
1002,Cluster 24,2014-07,44,4,40,-40.15909090909091
1003,Cluster 24,2014-08,56,1,55,-31.0
1004,Cluster 24,2014-09,48,3,45,-36.11363636363636
1005,Cluster 24,2014-10,46,2,44,-41.09090909090909
1006,Cluster 24,2014-11,45,1,44,-30.431818181818187
1007,Cluster 24,2014-12,37,1,36,-32.5
1008,Cluster 24,2015-01,36,0,36,-29.272727272727266
1009,Cluster 24,2015-02,26,2,24,-16.909090909090907
1010,Cluster 24,2015-03,37,2,35,-19.25
1011,Cluster 24,2015-04,47,1,46,-19.545454545454547
1012,Cluster 24,2015-05,45,2,43,-30.909090909090907
1013,Cluster 24,2015-06,44,0,44,-33.29545454545455
1014,Cluster 24,2015-07,56,3,53,-26.5
1015,Cluster 24,2015-08,37,0,37,-41.56818181818181
1016,Cluster 24,2015-09,24,1,23,-49.81818181818181
1017,Cluster 24,2015-10,45,2,43,-32.227272727272734
1018,Cluster 24,2015-11,37,4,33,-34.09090909090909
1019,Cluster 24,2015-12,55,5,50,-21.38636363636364
1020,Cluster 25,2011-01,104,8,96,52.77272727272727
1021,Cluster 25,2011-02,76,6,70,27.659090909090907
1022,Cluster 25,2011-03,121,6,115,62.97727272727273
1023,Cluster 25,2011-04,108,5,103,52.88636363636363
1024,Cluster 25,2011-05,161,11,150,96.72727272727273
1025,Cluster 25,2011-06,180,7,173,113.06818181818181
1026,Cluster 25,2011-07,181,6,175,112.47727272727273
1027,Cluster 25,2011-08,161,8,153,93.38636363636364
1028,Cluster 25,2011-09,184,10,174,116.63636363636364
1029,Cluster 25,2011-10,184,13,171,110.06818181818181
1030,Cluster 25,2011-11,172,7,165,103.63636363636364
1031,Cluster 25,2011-12,177,6,171,107.43181818181819
1032,Cluster 25,2012-01,223,12,211,155.54545454545456
1033,Cluster 25,2012-02,157,7,150,102.93181818181819
1034,Cluster 25,2012-03,140,7,133,83.13636363636363
1035,Cluster 25,2012-04,154,9,145,95.79545454545455
1036,Cluster 25,2012-05,163,14,149,96.43181818181819
1037,Cluster 25,2012-06,162,9,153,94.20454545454545
1038,Cluster 25,2012-07,185,11,174,111.81818181818181
1039,Cluster 25,2012-08,205,8,197,127.3409090909091
1040,Cluster 25,2012-09,233,10,223,162.8409090909091
1041,Cluster 25,2012-10,182,7,175,107.38636363636364
1042,Cluster 25,2012-11,154,9,145,88.56818181818181
1043,Cluster 25,2012-12,172,8,164,104.3409090909091
1044,Cluster 25,2013-01,178,4,174,114.27272727272728
1045,Cluster 25,2013-02,166,4,162,115.20454545454545
1046,Cluster 25,2013-03,146,14,132,87.52272727272728
1047,Cluster 25,2013-04,152,10,142,90.54545454545455
1048,Cluster 25,2013-05,191,10,181,118.63636363636364
1049,Cluster 25,2013-06,181,11,170,108.72727272727273
1050,Cluster 25,2013-07,219,12,207,146.6818181818182
1051,Cluster 25,2013-08,213,8,205,138.61363636363637
1052,Cluster 25,2013-09,189,9,180,112.88636363636364
1053,Cluster 25,2013-10,204,9,195,129.54545454545456
1054,Cluster 25,2013-11,123,4,119,56.022727272727266
