period,cluster,MedianRentPrice
2011-06,Cluster 8,1290.13
2011-07,Cluster 8,1290.13
2011-08,Cluster 8,1290.13
2011-09,Cluster 8,1290.13
2011-10,Cluster 8,1290.13
2011-11,Cluster 8,1290.13
2011-12,Cluster 8,1290.13
2012-01,Cluster 8,1399.27
2012-02,Cluster 8,1399.27
2012-03,Cluster 8,1399.27
2012-04,Cluster 8,1399.27
2012-05,Cluster 8,1399.27
2012-06,Cluster 8,1399.27
2012-07,Cluster 8,1399.27
2012-08,Cluster 8,1399.27
2012-09,Cluster 8,1399.27
2012-10,Cluster 8,1399.27
2012-11,Cluster 8,1399.27
2012-12,Cluster 8,1399.27
2013-01,Cluster 8,1451.74
2013-02,Cluster 8,1451.74
2013-03,Cluster 8,1451.74
2013-04,Cluster 8,1451.74
2013-05,Cluster 8,1451.74
2013-06,Cluster 8,1451.74
2013-07,Cluster 8,1451.74
2013-08,Cluster 8,1451.74
2013-09,Cluster 8,1451.74
2013-10,Cluster 8,1451.74
2013-11,Cluster 8,1451.74
2013-12,Cluster 8,1451.74
2014-01,Cluster 8,1497.97
2014-02,Cluster 8,1497.97
2014-03,Cluster 8,1497.97
2014-04,Cluster 8,1497.97
2014-05,Cluster 8,1497.97
2014-06,Cluster 8,1497.97
2014-07,Cluster 8,1497.97
2014-08,Cluster 8,1497.97
2014-09,Cluster 8,1497.97
2014-10,Cluster 8,1497.97
2014-11,Cluster 8,1497.97
2014-12,Cluster 8,1497.97
2015-01,Cluster 8,1659.19
2015-02,Cluster 8,1659.19
2015-03,Cluster 8,1659.19
2015-04,Cluster 8,1659.19
2015-05,Cluster 8,1659.19
2015-06,Cluster 8,1659.19
2015-07,Cluster 8,1659.19
2015-08,Cluster 8,1659.19
2015-09,Cluster 8,1659.19
2015-10,Cluster 8,1659.19
2015-11,Cluster 8,1659.19
2015-12,Cluster 8,1659.19
2011-01,Cluster 9,1152.94
2011-02,Cluster 9,1152.94
2011-03,Cluster 9,1152.94
2011-04,Cluster 9,1152.94
2011-05,Cluster 9,1152.94
2011-06,Cluster 9,1152.94
2011-07,Cluster 9,1152.94
2011-08,Cluster 9,1152.94
2011-09,Cluster 9,1152.94
2011-10,Cluster 9,1152.94
2011-11,Cluster 9,1152.94
2011-12,Cluster 9,1152.94
2012-01,Cluster 9,1186.26
2012-02,Cluster 9,1186.26
2012-03,Cluster 9,1186.26
2012-04,Cluster 9,1186.26
2012-05,Cluster 9,1186.26
2012-06,Cluster 9,1186.26
2012-07,Cluster 9,1186.26
2012-08,Cluster 9,1186.26
2012-09,Cluster 9,1186.26
2012-10,Cluster 9,1186.26
2012-11,Cluster 9,1186.26
2012-12,Cluster 9,1186.26
2013-01,Cluster 9,1253.35
2013-02,Cluster 9,1253.35
2013-03,Cluster 9,1253.35
2013-04,Cluster 9,1253.35
2013-05,Cluster 9,1253.35
2013-06,Cluster 9,1253.35
2013-07,Cluster 9,1253.35
2013-08,Cluster 9,1253.35
2013-09,Cluster 9,1253.35
2013-10,Cluster 9,1253.35
2013-11,Cluster 9,1253.35
2013-12,Cluster 9,1253.35
2014-01,Cluster 9,1315.7
2014-02,Cluster 9,1315.7
2014-03,Cluster 9,1315.7
2014-04,Cluster 9,1315.7
2014-05,Cluster 9,1315.7
2014-06,Cluster 9,1315.7
2014-07,Cluster 9,1315.7
2014-08,Cluster 9,1315.7
2014-09,Cluster 9,1315.7
2014-10,Cluster 9,1315.7
2014-11,Cluster 9,1315.7
2014-12,Cluster 9,1315.7
2015-01,Cluster 9,1380.83
2015-02,Cluster 9,1380.83
2015-03,Cluster 9,1380.83
2015-04,Cluster 9,1380.83
2015-05,Cluster 9,1380.83
2015-06,Cluster 9,1380.83
2015-07,Cluster 9,1380.83
2015-08,Cluster 9,1380.83
2015-09,Cluster 9,1380.83
2015-10,Cluster 9,1380.83
2015-11,Cluster 9,1380.83
2015-12,Cluster 9,1380.83
