period,cluster,MedianPriceAsked
2012-10,Cluster 13,699603.17
2012-11,Cluster 13,699603.17
2012-12,Cluster 13,699603.17
2013-01,Cluster 13,630813.95
2013-02,Cluster 13,630813.95
2013-03,Cluster 13,630813.95
2013-04,Cluster 13,630813.95
2013-05,Cluster 13,630813.95
2013-06,Cluster 13,630813.95
2013-07,Cluster 13,630813.95
2013-08,Cluster 13,630813.95
2013-09,Cluster 13,630813.95
2013-10,Cluster 13,630813.95
2013-11,Cluster 13,630813.95
2013-12,Cluster 13,630813.95
2014-01,Cluster 13,875000
2014-02,Cluster 13,875000
2014-03,Cluster 13,875000
2014-04,Cluster 13,875000
2014-05,Cluster 13,875000
2014-06,Cluster 13,875000
2014-07,Cluster 13,875000
2014-08,Cluster 13,875000
2014-09,Cluster 13,875000
2014-10,Cluster 13,875000
2014-11,Cluster 13,875000
2014-12,Cluster 13,875000
2015-01,Cluster 13,750000
2015-02,Cluster 13,750000
2015-03,Cluster 13,750000
2015-04,Cluster 13,750000
2015-05,Cluster 13,750000
2015-06,Cluster 13,750000
2015-07,Cluster 13,750000
2015-08,Cluster 13,750000
2015-09,Cluster 13,750000
2015-10,Cluster 13,750000
2015-11,Cluster 13,750000
2015-12,Cluster 13,750000
2011-01,Cluster 14,300000
2011-02,Cluster 14,300000
2011-03,Cluster 14,300000
2011-04,Cluster 14,300000
2011-05,Cluster 14,300000
2011-06,Cluster 14,300000
2011-07,Cluster 14,300000
2011-08,Cluster 14,300000
2011-09,Cluster 14,300000
2011-10,Cluster 14,300000
2011-11,Cluster 14,300000
2011-12,Cluster 14,300000
2012-01,Cluster 14,300000
2012-02,Cluster 14,300000
2012-03,Cluster 14,300000
2012-04,Cluster 14,300000
2012-05,Cluster 14,300000
2012-06,Cluster 14,300000
2012-07,Cluster 14,300000
2012-08,Cluster 14,300000
2012-09,Cluster 14,300000
2012-10,Cluster 14,300000
2012-11,Cluster 14,300000
2012-12,Cluster 14,300000
2013-01,Cluster 14,300000
2013-02,Cluster 14,300000
2013-03,Cluster 14,300000
2013-04,Cluster 14,300000
2013-05,Cluster 14,300000
2013-06,Cluster 14,300000
2013-07,Cluster 14,300000
2013-08,Cluster 14,300000
2013-09,Cluster 14,300000
2013-10,Cluster 14,300000
2013-11,Cluster 14,300000
2013-12,Cluster 14,300000
2014-01,Cluster 14,368571.43
2014-02,Cluster 14,368571.43
2014-03,Cluster 14,368571.43
2014-04,Cluster 14,368571.43
2014-05,Cluster 14,368571.43
2014-06,Cluster 14,368571.43
2014-07,Cluster 14,368571.43
2014-08,Cluster 14,368571.43
2014-09,Cluster 14,368571.43
2014-10,Cluster 14,368571.43
2014-11,Cluster 14,368571.43
2014-12,Cluster 14,368571.43
2015-01,Cluster 14,475000
2015-02,Cluster 14,475000
2015-03,Cluster 14,475000
2015-04,Cluster 14,475000
2015-05,Cluster 14,475000
2015-06,Cluster 14,475000
2015-07,Cluster 14,475000
2015-08,Cluster 14,475000
2015-09,Cluster 14,475000
2015-10,Cluster 14,475000
2015-11,Cluster 14,475000
2015-12,Cluster 14,475000
2011-01,Cluster 15,268840.58
2011-02,Cluster 15,268840.58
2011-03,Cluster 15,268840.58
2011-04,Cluster 15,268840.58
2011-05,Cluster 15,268840.58
2011-06,Cluster 15,268840.58
2011-07,Cluster 15,268840.58
2011-08,Cluster 15,268840.58
2011-09,Cluster 15,268840.58
2011-10,Cluster 15,268840.58
2011-11,Cluster 15,268840.58
2011-12,Cluster 15,268840.58
2012-01,Cluster 15,255555.56
2012-02,Cluster 15,255555.56
2012-03,Cluster 15,255555.56
2012-04,Cluster 15,255555.56
2012-05,Cluster 15,255555.56
2012-06,Cluster 15,255555.56
2012-07,Cluster 15,255555.56
2012-08,Cluster 15,255555.56
2012-09,Cluster 15,255555.56
2012-10,Cluster 15,255555.56
2012-11,Cluster 15,255555.56
2012-12,Cluster 15,255555.56
2013-01,Cluster 15,271250
2013-02,Cluster 15,271250
2013-03,Cluster 15,271250
2013-04,Cluster 15,271250
2013-05,Cluster 15,271250
2013-06,Cluster 15,271250
2013-07,Cluster 15,271250
2013-08,Cluster 15,271250
2013-09,Cluster 15,271250
2013-10,Cluster 15,271250
2013-11,Cluster 15,271250
2013-12,Cluster 15,271250
2014-01,Cluster 15,669594.59
2014-02,Cluster 15,669594.59
2014-03,Cluster 15,669594.59
2014-04,Cluster 15,669594.59
2014-05,Cluster 15,669594.59
2014-06,Cluster 15,669594.59
2014-07,Cluster 15,669594.59
2014-08,Cluster 15,669594.59
2014-09,Cluster 15,669594.59
2014-10,Cluster 15,669594.59
2014-11,Cluster 15,669594.59
2014-12,Cluster 15,669594.59
2015-01,Cluster 15,750000
2015-02,Cluster 15,750000
2015-03,Cluster 15,750000
2015-04,Cluster 15,750000
2015-05,Cluster 15,750000
2015-06,Cluster 15,750000
2015-07,Cluster 15,750000
2015-08,Cluster 15,750000
2015-09,Cluster 15,750000
2015-10,Cluster 15,750000
2015-11,Cluster 15,750000
2015-12,Cluster 15,750000
2011-01,Cluster 16,750000
2011-02,Cluster 16,750000
2011-03,Cluster 16,750000
2011-04,Cluster 16,750000
2011-05,Cluster 16,750000
2011-06,Cluster 16,750000
2011-07,Cluster 16,750000
2011-08,Cluster 16,750000
2011-09,Cluster 16,750000
2011-10,Cluster 16,750000
2011-11,Cluster 16,750000
2011-12,Cluster 16,750000
2012-01,Cluster 16,750000
2012-02,Cluster 16,750000
2012-03,Cluster 16,750000
2012-04,Cluster 16,750000
2012-05,Cluster 16,750000
2012-06,Cluster 16,750000
2012-07,Cluster 16,750000
2012-08,Cluster 16,750000
2012-09,Cluster 16,750000
2012-10,Cluster 16,750000
2012-11,Cluster 16,750000
2012-12,Cluster 16,750000
2013-01,Cluster 16,445945.95
2013-02,Cluster 16,445945.95
2013-03,Cluster 16,445945.95
2013-04,Cluster 16,445945.95
2013-05,Cluster 16,445945.95
2013-06,Cluster 16,445945.95
2013-07,Cluster 16,445945.95
2013-08,Cluster 16,445945.95
2013-09,Cluster 16,445945.95
2013-10,Cluster 16,445945.95
2013-11,Cluster 16,445945.95
2013-12,Cluster 16,445945.95
2014-01,Cluster 16,450000
2014-02,Cluster 16,450000
2014-03,Cluster 16,450000
