,Date,Cluster,Population,Poverty Below 100
133,2014-01,Cluster 27,7481.0,1705.0
134,2015-01,Cluster 27,7500.0,1271.0
135,2011-01,Cluster 28,4712.0,2051.0
136,2012-01,Cluster 28,4856.0,2262.0
137,2013-01,Cluster 28,4562.0,2000.0
138,2014-01,Cluster 28,4948.0,2221.0
139,2015-01,Cluster 28,5338.0,2505.0
140,2011-01,Cluster 29,2874.0,1182.0
141,2012-01,Cluster 29,2715.0,1159.0
142,2013-01,Cluster 29,2521.0,1082.0
143,2014-01,Cluster 29,2182.0,928.0
144,2015-01,Cluster 29,2202.0,944.0
145,2011-01,Cluster 30,5706.0,1826.0
146,2012-01,Cluster 30,5672.0,2080.0
147,2013-01,Cluster 30,6021.0,1873.0
148,2014-01,Cluster 30,6089.0,1886.0
149,2015-01,Cluster 30,6845.0,2116.0
150,2011-01,Cluster 31,13858.0,4500.0
151,2012-01,Cluster 31,14377.0,4362.0
152,2013-01,Cluster 31,14710.0,4685.0
153,2014-01,Cluster 31,14336.0,3746.0
154,2015-01,Cluster 31,14412.0,3795.0
155,2011-01,Cluster 32,15886.0,3694.0
156,2012-01,Cluster 32,15527.0,3566.0
157,2013-01,Cluster 32,15406.0,3969.0
158,2014-01,Cluster 32,15110.0,4239.0
159,2015-01,Cluster 32,15969.0,4291.0
160,2011-01,Cluster 33,13468.0,2990.0
161,2012-01,Cluster 33,13621.0,3478.0
162,2013-01,Cluster 33,13882.0,3638.0
163,2014-01,Cluster 33,15284.0,4109.0
164,2015-01,Cluster 33,15749.0,4557.0
165,2011-01,Cluster 34,14565.0,2793.0
166,2012-01,Cluster 34,15175.0,2732.0
167,2013-01,Cluster 34,14934.0,3102.0
168,2014-01,Cluster 34,15017.0,2776.0
169,2015-01,Cluster 34,16132.0,3513.0
170,2011-01,Cluster 35,4122.0,652.0
171,2012-01,Cluster 35,3606.0,456.0
172,2013-01,Cluster 35,3362.0,537.0
173,2014-01,Cluster 35,3632.0,538.0
174,2015-01,Cluster 35,3891.0,819.0
175,2011-01,Cluster 36,7151.0,2946.0
176,2012-01,Cluster 36,7913.0,3589.0
177,2013-01,Cluster 36,7885.0,3403.0
178,2014-01,Cluster 36,8490.0,4214.0
179,2015-01,Cluster 36,8764.0,4193.0
180,2011-01,Cluster 37,7751.0,3133.0
181,2012-01,Cluster 37,7955.0,3075.0
182,2013-01,Cluster 37,8342.0,3275.0
183,2014-01,Cluster 37,8339.0,3208.0
184,2015-01,Cluster 37,8109.0,2993.0
185,2011-01,Cluster 38,13800.0,5217.0
186,2012-01,Cluster 38,14091.0,5308.0
187,2013-01,Cluster 38,14263.0,5562.0
188,2014-01,Cluster 38,14339.0,5343.0
189,2015-01,Cluster 38,14363.0,5283.0
190,2011-01,Cluster 39,19873.0,6857.0
191,2012-01,Cluster 39,20212.0,7430.0
192,2013-01,Cluster 39,21311.0,8234.0
193,2014-01,Cluster 39,22008.0,7709.0
194,2015-01,Cluster 39,23121.0,8698.0
195,2011-01,Cluster 40,3538.0,465.0
196,2012-01,Cluster 40,3262.0,513.0
197,2013-01,Cluster 40,3162.0,565.0
198,2014-01,Cluster 40,3447.0,636.0
199,2015-01,Cluster 40,3445.0,682.0
200,2011-01,Cluster 41,7198.0,881.0
201,2012-01,Cluster 41,7374.0,769.0
202,2013-01,Cluster 41,7728.0,726.0
203,2014-01,Cluster 41,7896.0,739.0
204,2015-01,Cluster 41,7922.0,728.0
205,2011-01,Cluster 42,1420.0,67.0
206,2012-01,Cluster 42,1501.0,106.0
207,2013-01,Cluster 42,1507.0,122.0
208,2014-01,Cluster 42,1527.0,145.0
209,2015-01,Cluster 42,1572.0,156.0
210,2011-01,Cluster 43,3898.0,1134.0
211,2012-01,Cluster 43,4283.0,1343.0
212,2013-01,Cluster 43,4136.0,1160.0
213,2014-01,Cluster 43,4387.0,1312.0
214,2015-01,Cluster 43,4435.0,1298.0
215,2011-01,Cluster 44,5881.0,1680.0
216,2012-01,Cluster 44,6435.0,1864.0
217,2013-01,Cluster 44,6979.0,2396.0
218,2014-01,Cluster 44,7408.0,2214.0
219,2015-01,Cluster 44,7989.0,2053.0
