period,cluster,MedianPriceAsked
2014-03,Cluster 11,895100
2014-04,Cluster 11,896800
2014-05,Cluster 11,898000
2014-06,Cluster 11,899600
2014-07,Cluster 11,900300
2014-08,Cluster 11,901000
2014-09,Cluster 11,901000
2014-10,Cluster 11,903300
2014-11,Cluster 11,907100
2014-12,Cluster 11,910200
2015-01,Cluster 11,911300
2015-02,Cluster 11,913400
2015-03,Cluster 11,917000
2015-04,Cluster 11,923100
2015-05,Cluster 11,931000
2015-06,Cluster 11,940200
2015-07,Cluster 11,948800
2015-08,Cluster 11,953900
2015-09,Cluster 11,957200
2015-10,Cluster 11,961900
2015-11,Cluster 11,965500
2015-12,Cluster 11,966000
2011-01,Cluster 12,796400
2011-02,Cluster 12,790500
2011-03,Cluster 12,793300
2011-04,Cluster 12,797300
2011-05,Cluster 12,797800
2011-06,Cluster 12,796800
2011-07,Cluster 12,796000
2011-08,Cluster 12,794300
2011-09,Cluster 12,794400
2011-10,Cluster 12,793300
2011-11,Cluster 12,791700
2011-12,Cluster 12,792500
2012-01,Cluster 12,794900
2012-02,Cluster 12,797200
2012-03,Cluster 12,800300
2012-04,Cluster 12,802500
2012-05,Cluster 12,804700
2012-06,Cluster 12,807700
2012-07,Cluster 12,813300
2012-08,Cluster 12,820600
2012-09,Cluster 12,822500
2012-10,Cluster 12,820500
2012-11,Cluster 12,819600
2012-12,Cluster 12,820000
2013-01,Cluster 12,822200
2013-02,Cluster 12,825900
2013-03,Cluster 12,825900
2013-04,Cluster 12,824700
2013-05,Cluster 12,830200
2013-06,Cluster 12,837100
2013-07,Cluster 12,841200
2013-08,Cluster 12,843800
2013-09,Cluster 12,850400
2013-10,Cluster 12,859600
2013-11,Cluster 12,868200
2013-12,Cluster 12,873400
2014-01,Cluster 12,876500
2014-02,Cluster 12,879800
2014-03,Cluster 12,882600
2014-04,Cluster 12,887500
2014-05,Cluster 12,891500
2014-06,Cluster 12,895100
2014-07,Cluster 12,897300
2014-08,Cluster 12,898000
2014-09,Cluster 12,896300
2014-10,Cluster 12,898600
2014-11,Cluster 12,902800
2014-12,Cluster 12,904900
2015-01,Cluster 12,907800
2015-02,Cluster 12,915400
2015-03,Cluster 12,922900
2015-04,Cluster 12,929300
2015-05,Cluster 12,937600
2015-06,Cluster 12,948800
2015-07,Cluster 12,958800
2015-08,Cluster 12,963100
2015-09,Cluster 12,964500
2015-10,Cluster 12,969300
2015-11,Cluster 12,974900
2015-12,Cluster 12,980400
2011-01,Cluster 13,1001400
2011-02,Cluster 13,990400
2011-03,Cluster 13,987000
2011-04,Cluster 13,986600
2011-05,Cluster 13,983200
2011-06,Cluster 13,983000
2011-07,Cluster 13,984900
2011-08,Cluster 13,985000
2011-09,Cluster 13,989400
2011-10,Cluster 13,994000
2011-11,Cluster 13,994200
2011-12,Cluster 13,998700
2012-01,Cluster 13,1005400
2012-02,Cluster 13,1005400
2012-03,Cluster 13,1000300
2012-04,Cluster 13,992100
2012-05,Cluster 13,988400
2012-06,Cluster 13,988300
2012-07,Cluster 13,990300
2012-08,Cluster 13,993600
2012-09,Cluster 13,997000
2012-10,Cluster 13,994500
2012-11,Cluster 13,991700
2012-12,Cluster 13,992100
2013-01,Cluster 13,990400
2013-02,Cluster 13,985200
2013-03,Cluster 13,985800
2013-04,Cluster 13,998200
2013-05,Cluster 13,1008000
2013-06,Cluster 13,1009500
2013-07,Cluster 13,1013700
2013-08,Cluster 13,1020000
2013-09,Cluster 13,1027200
2013-10,Cluster 13,1040900
2013-11,Cluster 13,1057300
2013-12,Cluster 13,1070800
2014-01,Cluster 13,1081300
2014-02,Cluster 13,1089400
2014-03,Cluster 13,1092900
2014-04,Cluster 13,1093400
2014-05,Cluster 13,1092300
2014-06,Cluster 13,1097400
2014-07,Cluster 13,1105300
2014-08,Cluster 13,1112300
2014-09,Cluster 13,1117900
2014-10,Cluster 13,1125400
2014-11,Cluster 13,1128200
2014-12,Cluster 13,1126700
2015-01,Cluster 13,1133000
2015-02,Cluster 13,1149700
2015-03,Cluster 13,1167600
2015-04,Cluster 13,1185400
2015-05,Cluster 13,1204700
2015-06,Cluster 13,1222800
2015-07,Cluster 13,1236600
2015-08,Cluster 13,1239800
2015-09,Cluster 13,1242600
2015-10,Cluster 13,1254300
2015-11,Cluster 13,1263000
2015-12,Cluster 13,1257800
2011-01,Cluster 14,1011100
2011-02,Cluster 14,997100
2011-03,Cluster 14,996000
2011-04,Cluster 14,998500
2011-05,Cluster 14,995600
2011-06,Cluster 14,988100
2011-07,Cluster 14,986600
2011-08,Cluster 14,989400
2011-09,Cluster 14,995000
2011-10,Cluster 14,997900
2011-11,Cluster 14,1000200
2011-12,Cluster 14,1004100
2012-01,Cluster 14,1005300
2012-02,Cluster 14,1000100
2012-03,Cluster 14,995900
2012-04,Cluster 14,995100
2012-05,Cluster 14,1001900
2012-06,Cluster 14,1017400
2012-07,Cluster 14,1031400
2012-08,Cluster 14,1035500
2012-09,Cluster 14,1038600
2012-10,Cluster 14,1040600
2012-11,Cluster 14,1037300
2012-12,Cluster 14,1039800
2013-01,Cluster 14,1049200
2013-02,Cluster 14,1055200
2013-03,Cluster 14,1057500
2013-04,Cluster 14,1053500
2013-05,Cluster 14,1053200
2013-06,Cluster 14,1068600
2013-07,Cluster 14,1088200
2013-08,Cluster 14,1097400
2013-09,Cluster 14,1108200
2013-10,Cluster 14,1121500
2013-11,Cluster 14,1133600
2013-12,Cluster 14,1141000
2014-01,Cluster 14,1144000
2014-02,Cluster 14,1149100
2014-03,Cluster 14,1155700
2014-04,Cluster 14,1160900
2014-05,Cluster 14,1168600
2014-06,Cluster 14,1184200
2014-07,Cluster 14,1200800
2014-08,Cluster 14,1210400
2014-09,Cluster 14,1209300
2014-10,Cluster 14,1206800
2014-11,Cluster 14,1208800
2014-12,Cluster 14,1208400
2015-01,Cluster 14,1207100
2015-02,Cluster 14,1217000
2015-03,Cluster 14,1238400
2015-04,Cluster 14,1257600
2015-05,Cluster 14,1262100
2015-06,Cluster 14,1254400
2015-07,Cluster 14,1248300
2015-08,Cluster 14,1239500
2015-09,Cluster 14,1228600
2015-10,Cluster 14,1227800
2015-11,Cluster 14,1233800
2015-12,Cluster 14,1231900
2011-01,Cluster 15,1286100
2011-02,Cluster 15,1272600
2011-03,Cluster 15,1269400
2011-04,Cluster 15,1270700
2011-05,Cluster 15,1272200
2011-06,Cluster 15,1268000
2011-07,Cluster 15,1269900
2011-08,Cluster 15,1280200
2011-09,Cluster 15,1287000
2011-10,Cluster 15,1286900
2011-11,Cluster 15,1286500
2011-12,Cluster 15,1282500
2012-01,Cluster 15,1272400
2012-02,Cluster 15,1260500
2012-03,Cluster 15,1257600
2012-04,Cluster 15,1260300
2012-05,Cluster 15,1265200
2012-06,Cluster 15,1273300
2012-07,Cluster 15,1283500
2012-08,Cluster 15,1290300
2012-09,Cluster 15,1291700
2012-10,Cluster 15,1291400
2012-11,Cluster 15,1294800
2012-12,Cluster 15,1298400
2013-01,Cluster 15,1298400
2013-02,Cluster 15,1303200
2013-03,Cluster 15,1312800
2013-04,Cluster 15,1321000
2013-05,Cluster 15,1323000
2013-06,Cluster 15,1325200
2013-07,Cluster 15,1328800
2013-08,Cluster 15,1333200
2013-09,Cluster 15,1338000
2013-10,Cluster 15,1346200
2013-11,Cluster 15,1352100
2013-12,Cluster 15,1353000
2014-01,Cluster 15,1354100
2014-02,Cluster 15,1358500
2014-03,Cluster 15,1361700
2014-04,Cluster 15,1365400
2014-05,Cluster 15,1371400
2014-06,Cluster 15,1380500
2014-07,Cluster 15,1394200
2014-08,Cluster 15,1409400
2014-09,Cluster 15,1417000
2014-10,Cluster 15,1425700
2014-11,Cluster 15,1437700
2014-12,Cluster 15,1441500
2015-01,Cluster 15,1433300
2015-02,Cluster 15,1426700
2015-03,Cluster 15,1424500
2015-04,Cluster 15,1427100
2015-05,Cluster 15,1439900
2015-06,Cluster 15,1456900
2015-07,Cluster 15,1469100
2015-08,Cluster 15,1474700
2015-09,Cluster 15,1485100
2015-10,Cluster 15,1496300
2015-11,Cluster 15,1504800
2015-12,Cluster 15,1509900
2011-01,Cluster 16,699800
2011-02,Cluster 16,693100
2011-03,Cluster 16,694200
2011-04,Cluster 16,697700
2011-05,Cluster 16,703800
2011-06,Cluster 16,712500
2011-07,Cluster 16,720900
2011-08,Cluster 16,727100
2011-09,Cluster 16,734300
2011-10,Cluster 16,737400
2011-11,Cluster 16,737500
2011-12,Cluster 16,739600
2012-01,Cluster 16,743000
2012-02,Cluster 16,744200
2012-03,Cluster 16,742500
2012-04,Cluster 16,736700
2012-05,Cluster 16,732700
2012-06,Cluster 16,734600
2012-07,Cluster 16,739300
2012-08,Cluster 16,741400
2012-09,Cluster 16,744200
2012-10,Cluster 16,749800
2012-11,Cluster 16,755500
2012-12,Cluster 16,756600
2013-01,Cluster 16,757700
2013-02,Cluster 16,761600
2013-03,Cluster 16,765500
2013-04,Cluster 16,767200
2013-05,Cluster 16,772600
2013-06,Cluster 16,781400
2013-07,Cluster 16,791600
2013-08,Cluster 16,803000
2013-09,Cluster 16,813900
2013-10,Cluster 16,822000
2013-11,Cluster 16,828800
2013-12,Cluster 16,834500
2014-01,Cluster 16,837500
2014-02,Cluster 16,842300
2014-03,Cluster 16,851700
2014-04,Cluster 16,860400
2014-05,Cluster 16,864900
2014-06,Cluster 16,871700
2014-07,Cluster 16,880600
2014-08,Cluster 16,884400
2014-09,Cluster 16,881500
2014-10,Cluster 16,877800
2014-11,Cluster 16,874300
2014-12,Cluster 16,869500
2015-01,Cluster 16,867000
2015-02,Cluster 16,865500
2015-03,Cluster 16,862400
2015-04,Cluster 16,862000
2015-05,Cluster 16,864600
2015-06,Cluster 16,860000
2015-07,Cluster 16,855100
2015-08,Cluster 16,854700
2015-09,Cluster 16,859200
2015-10,Cluster 16,866500
2015-11,Cluster 16,878200
2015-12,Cluster 16,887000
2011-01,Cluster 17,457100
2011-02,Cluster 17,446400
2011-03,Cluster 17,445300
2011-04,Cluster 17,441700
2011-05,Cluster 17,431200
2011-06,Cluster 17,421200
2011-07,Cluster 17,418000
2011-08,Cluster 17,417900
2011-09,Cluster 17,416100
2011-10,Cluster 17,413400
2011-11,Cluster 17,413400
2011-12,Cluster 17,414900
2012-01,Cluster 17,416800
2012-02,Cluster 17,418600
2012-03,Cluster 17,421200
2012-04,Cluster 17,425700
2012-05,Cluster 17,433800
2012-06,Cluster 17,443700
2012-07,Cluster 17,452200
2012-08,Cluster 17,457800
2012-09,Cluster 17,460700
2012-10,Cluster 17,463900
2012-11,Cluster 17,467700
2012-12,Cluster 17,469500
2013-01,Cluster 17,470100
2013-02,Cluster 17,472100
2013-03,Cluster 17,473600
2013-04,Cluster 17,475400
2013-05,Cluster 17,479700
2013-06,Cluster 17,483700
2013-07,Cluster 17,487100
2013-08,Cluster 17,491400
2013-09,Cluster 17,499300
2013-10,Cluster 17,510300
2013-11,Cluster 17,525300
2013-12,Cluster 17,539200
2014-01,Cluster 17,549500
2014-02,Cluster 17,558100
2014-03,Cluster 17,566200
2014-04,Cluster 17,570100
2014-05,Cluster 17,570800
2014-06,Cluster 17,575800
2014-07,Cluster 17,581700
2014-08,Cluster 17,583400
2014-09,Cluster 17,583400
2014-10,Cluster 17,586100
2014-11,Cluster 17,589600
2014-12,Cluster 17,590400
2015-01,Cluster 17,587400
2015-02,Cluster 17,584600
2015-03,Cluster 17,585300
2015-04,Cluster 17,587100
2015-05,Cluster 17,590800
2015-06,Cluster 17,597400
2015-07,Cluster 17,601400
2015-08,Cluster 17,605800
2015-09,Cluster 17,613500
2015-10,Cluster 17,621200
2015-11,Cluster 17,626700
2015-12,Cluster 17,631800
2011-01,Cluster 18,372700
2011-02,Cluster 18,367700
2011-03,Cluster 18,367200
2011-04,Cluster 18,368200
2011-05,Cluster 18,368600
2011-06,Cluster 18,367500
2011-07,Cluster 18,368300
2011-08,Cluster 18,369600
2011-09,Cluster 18,371800
2011-10,Cluster 18,373600
2011-11,Cluster 18,375800
2011-12,Cluster 18,378700
2012-01,Cluster 18,381400
2012-02,Cluster 18,382400
2012-03,Cluster 18,383300
2012-04,Cluster 18,384200
2012-05,Cluster 18,385000
2012-06,Cluster 18,387000
2012-07,Cluster 18,391300
2012-08,Cluster 18,398400
2012-09,Cluster 18,405300
2012-10,Cluster 18,409800
2012-11,Cluster 18,412300
2012-12,Cluster 18,414800
2013-01,Cluster 18,417400
2013-02,Cluster 18,422400
2013-03,Cluster 18,428200
2013-04,Cluster 18,433300
2013-05,Cluster 18,438600
2013-06,Cluster 18,444900
2013-07,Cluster 18,449600
2013-08,Cluster 18,451900
2013-09,Cluster 18,454400
2013-10,Cluster 18,460900
2013-11,Cluster 18,472400
2013-12,Cluster 18,483300
2014-01,Cluster 18,490000
2014-02,Cluster 18,497300
2014-03,Cluster 18,507100
2014-04,Cluster 18,515900
2014-05,Cluster 18,522300
2014-06,Cluster 18,526800
2014-07,Cluster 18,530100
2014-08,Cluster 18,534100
2014-09,Cluster 18,535200
2014-10,Cluster 18,534100
2014-11,Cluster 18,532800
2014-12,Cluster 18,531800
2015-01,Cluster 18,533600
2015-02,Cluster 18,539100
2015-03,Cluster 18,545400
2015-04,Cluster 18,555700
2015-05,Cluster 18,572600
2015-06,Cluster 18,594200
2015-07,Cluster 18,612000
2015-08,Cluster 18,624100
2015-09,Cluster 18,635800
2015-10,Cluster 18,647900
2015-11,Cluster 18,654200
2015-12,Cluster 18,655600
2011-01,Cluster 19,243400
2011-02,Cluster 19,240900
2011-03,Cluster 19,241500
2011-04,Cluster 19,242900
2011-05,Cluster 19,243600
2011-06,Cluster 19,243800
2011-07,Cluster 19,243500
2011-08,Cluster 19,242400
2011-09,Cluster 19,241800
2011-10,Cluster 19,241600
2011-11,Cluster 19,241600
2011-12,Cluster 19,241900
2012-01,Cluster 19,242000
2012-02,Cluster 19,242100
2012-03,Cluster 19,242300
2012-04,Cluster 19,242000
2012-05,Cluster 19,241600
2012-06,Cluster 19,242700
2012-07,Cluster 19,244700
2012-08,Cluster 19,247200
2012-09,Cluster 19,248800
2012-10,Cluster 19,250200
2012-11,Cluster 19,252000
2012-12,Cluster 19,254800
2013-01,Cluster 19,257200
2013-02,Cluster 19,259200
2013-03,Cluster 19,260400
2013-04,Cluster 19,261600
2013-05,Cluster 19,263700
2013-06,Cluster 19,266600
2013-07,Cluster 19,270200
2013-08,Cluster 19,274900
2013-09,Cluster 19,279600
2013-10,Cluster 19,283400
2013-11,Cluster 19,285900
2013-12,Cluster 19,287800
2014-01,Cluster 19,291100
2014-02,Cluster 19,296400
2014-03,Cluster 19,302000
2014-04,Cluster 19,306700
2014-05,Cluster 19,310100
2014-06,Cluster 19,313500
2014-07,Cluster 19,317400
2014-08,Cluster 19,320400
2014-09,Cluster 19,323000
2014-10,Cluster 19,327700
2014-11,Cluster 19,332800
2014-12,Cluster 19,336200
2015-01,Cluster 19,338300
2015-02,Cluster 19,340300
2015-03,Cluster 19,344100
2015-04,Cluster 19,349400
2015-05,Cluster 19,355300
2015-06,Cluster 19,362400
2015-07,Cluster 19,370800
2015-08,Cluster 19,376800
2015-09,Cluster 19,380200
2015-10,Cluster 19,382200
2015-11,Cluster 19,385900
2015-12,Cluster 19,389200
2011-01,Cluster 2,418600
2011-02,Cluster 2,415300
2011-03,Cluster 2,416100
2011-04,Cluster 2,417600
2011-05,Cluster 2,417600
2011-06,Cluster 2,416500
2011-07,Cluster 2,415200
2011-08,Cluster 2,415900
2011-09,Cluster 2,419300
2011-10,Cluster 2,421100
2011-11,Cluster 2,419500
2011-12,Cluster 2,418600
2012-01,Cluster 2,421600
2012-02,Cluster 2,424900
2012-03,Cluster 2,428800
2012-04,Cluster 2,433400
2012-05,Cluster 2,439300
2012-06,Cluster 2,446300
2012-07,Cluster 2,453300
2012-08,Cluster 2,457500
2012-09,Cluster 2,460900
2012-10,Cluster 2,464700
2012-11,Cluster 2,468600
2012-12,Cluster 2,473500
2013-01,Cluster 2,478600
2013-02,Cluster 2,481600
2013-03,Cluster 2,483600
2013-04,Cluster 2,485400
2013-05,Cluster 2,490500
2013-06,Cluster 2,494400
2013-07,Cluster 2,494100
2013-08,Cluster 2,495500
2013-09,Cluster 2,506100
2013-10,Cluster 2,518400
2013-11,Cluster 2,529500
2013-12,Cluster 2,539000
2014-01,Cluster 2,545600
2014-02,Cluster 2,550900
2014-03,Cluster 2,559600
2014-04,Cluster 2,569100
2014-05,Cluster 2,574100
2014-06,Cluster 2,578400
2014-07,Cluster 2,586700
2014-08,Cluster 2,594400
2014-09,Cluster 2,596200
2014-10,Cluster 2,597800
2014-11,Cluster 2,600400
2014-12,Cluster 2,602100
2015-01,Cluster 2,604200
2015-02,Cluster 2,607500
2015-03,Cluster 2,611300
2015-04,Cluster 2,611800
2015-05,Cluster 2,611800
2015-06,Cluster 2,617500
2015-07,Cluster 2,628100
2015-08,Cluster 2,637300
2015-09,Cluster 2,645400
2015-10,Cluster 2,652600
2015-11,Cluster 2,655500
2015-12,Cluster 2,655200
2011-01,Cluster 20,244200
2011-02,Cluster 20,241900
2011-03,Cluster 20,242300
2011-04,Cluster 20,242700
2011-05,Cluster 20,242600
2011-06,Cluster 20,242500
2011-07,Cluster 20,242000
2011-08,Cluster 20,240700
2011-09,Cluster 20,240600
2011-10,Cluster 20,240900
2011-11,Cluster 20,240800
2011-12,Cluster 20,240600
2012-01,Cluster 20,240700
2012-02,Cluster 20,241300
2012-03,Cluster 20,242500
2012-04,Cluster 20,242800
2012-05,Cluster 20,243000
2012-06,Cluster 20,244300
2012-07,Cluster 20,246000
2012-08,Cluster 20,246400
2012-09,Cluster 20,245800
2012-10,Cluster 20,245700
2012-11,Cluster 20,246500
2012-12,Cluster 20,248200
2013-01,Cluster 20,249000
2013-02,Cluster 20,248600
2013-03,Cluster 20,248500
2013-04,Cluster 20,249800
2013-05,Cluster 20,252600
2013-06,Cluster 20,255800
2013-07,Cluster 20,259400
2013-08,Cluster 20,263700
2013-09,Cluster 20,268900
2013-10,Cluster 20,274600
2013-11,Cluster 20,279500
2013-12,Cluster 20,282300
2014-01,Cluster 20,285400
2014-02,Cluster 20,291500
2014-03,Cluster 20,299000
2014-04,Cluster 20,306000
2014-05,Cluster 20,311400
2014-06,Cluster 20,316800
2014-07,Cluster 20,320800
2014-08,Cluster 20,325200
2014-09,Cluster 20,328900
2014-10,Cluster 20,330800
2014-11,Cluster 20,331500
2014-12,Cluster 20,333500
2015-01,Cluster 20,335400
2015-02,Cluster 20,338200
2015-03,Cluster 20,342800
2015-04,Cluster 20,348800
2015-05,Cluster 20,355000
2015-06,Cluster 20,361300
2015-07,Cluster 20,367700
2015-08,Cluster 20,374200
2015-09,Cluster 20,379000
2015-10,Cluster 20,380900
2015-11,Cluster 20,382600
2015-12,Cluster 20,383300
2011-01,Cluster 21,308697.48
2011-02,Cluster 21,308697.48
2011-03,Cluster 21,308697.48
2011-04,Cluster 21,308697.48
2011-05,Cluster 21,308697.48
2011-06,Cluster 21,308697.48
2011-07,Cluster 21,308697.48
2011-08,Cluster 21,308697.48
2011-09,Cluster 21,308697.48
2011-10,Cluster 21,308697.48
2011-11,Cluster 21,308697.48
2011-12,Cluster 21,308697.48
2012-01,Cluster 21,300000
2012-02,Cluster 21,300000
2012-03,Cluster 21,300000
2012-04,Cluster 21,300000
2012-05,Cluster 21,300000
2012-06,Cluster 21,300000
2012-07,Cluster 21,300000
2012-08,Cluster 21,300000
2012-09,Cluster 21,300000
2012-10,Cluster 21,300000
2012-11,Cluster 21,300000
2012-12,Cluster 21,300000
2013-01,Cluster 21,300000
2013-02,Cluster 21,300000
2013-03,Cluster 21,300000
2013-04,Cluster 21,300000
2013-05,Cluster 21,300000
2013-06,Cluster 21,300000
2013-07,Cluster 21,300000
2013-08,Cluster 21,300000
2013-09,Cluster 21,300000
2013-10,Cluster 21,300000
2013-11,Cluster 21,300000
2013-12,Cluster 21,300000
2014-01,Cluster 21,275824.18
2014-02,Cluster 21,275824.18
2014-03,Cluster 21,275824.18
2014-04,Cluster 21,275824.18
2014-05,Cluster 21,275824.18
2014-06,Cluster 21,275824.18
2014-07,Cluster 21,275824.18
2014-08,Cluster 21,275824.18
2014-09,Cluster 21,275824.18
2014-10,Cluster 21,275824.18
2014-11,Cluster 21,275824.18
2014-12,Cluster 21,275824.18
2015-01,Cluster 21,285567.01
2015-02,Cluster 21,285567.01
2015-03,Cluster 21,285567.01
2015-04,Cluster 21,285567.01
2015-05,Cluster 21,285567.01
2015-06,Cluster 21,285567.01
2015-07,Cluster 21,285567.01
2015-08,Cluster 21,285567.01
2015-09,Cluster 21,285567.01
2015-10,Cluster 21,285567.01
2015-11,Cluster 21,285567.01
2015-12,Cluster 21,285567.01
2011-01,Cluster 22,375000
2011-02,Cluster 22,368800
2011-03,Cluster 22,367800
2011-04,Cluster 22,369200
2011-05,Cluster 22,370800
2011-06,Cluster 22,372000
2011-07,Cluster 22,372400
2011-08,Cluster 22,371300
2011-09,Cluster 22,369300
2011-10,Cluster 22,366600
2011-11,Cluster 22,365300
2011-12,Cluster 22,365400
2012-01,Cluster 22,365700
2012-02,Cluster 22,366800
2012-03,Cluster 22,367700
2012-04,Cluster 22,368000
2012-05,Cluster 22,368700
2012-06,Cluster 22,370500
2012-07,Cluster 22,373700
2012-08,Cluster 22,379800
2012-09,Cluster 22,384900
2012-10,Cluster 22,388300
2012-11,Cluster 22,390200
2012-12,Cluster 22,391900
2013-01,Cluster 22,393900
2013-02,Cluster 22,398300
2013-03,Cluster 22,403700
2013-04,Cluster 22,408400
2013-05,Cluster 22,413200
2013-06,Cluster 22,418100
2013-07,Cluster 22,422900
2013-08,Cluster 22,428300
2013-09,Cluster 22,435100
2013-10,Cluster 22,441800
2013-11,Cluster 22,447600
2013-12,Cluster 22,451200
2014-01,Cluster 22,454100
2014-02,Cluster 22,459000
2014-03,Cluster 22,464100
2014-04,Cluster 22,466600
2014-05,Cluster 22,468200
2014-06,Cluster 22,470900
2014-07,Cluster 22,473600
2014-08,Cluster 22,477400
2014-09,Cluster 22,482100
2014-10,Cluster 22,487800
2014-11,Cluster 22,493500
2014-12,Cluster 22,497900
2015-01,Cluster 22,499800
2015-02,Cluster 22,503400
2015-03,Cluster 22,510100
2015-04,Cluster 22,520400
2015-05,Cluster 22,534500
2015-06,Cluster 22,547500
2015-07,Cluster 22,556200
2015-08,Cluster 22,562000
2015-09,Cluster 22,570800
2015-10,Cluster 22,584800
2015-11,Cluster 22,597700
2015-12,Cluster 22,599400
2011-01,Cluster 23,170634.92
2011-02,Cluster 23,170634.92
2011-03,Cluster 23,170634.92
2011-04,Cluster 23,170634.92
2011-05,Cluster 23,170634.92
2011-06,Cluster 23,170634.92
2011-07,Cluster 23,170634.92
2011-08,Cluster 23,170634.92
2011-09,Cluster 23,170634.92
2011-10,Cluster 23,170634.92
