period,cluster,MedianPriceAsked
2011-01,Cluster 1,3076200
2011-02,Cluster 1,3042000
2011-03,Cluster 1,3036800
2011-04,Cluster 1,3066100
2011-05,Cluster 1,3098900
2011-06,Cluster 1,3118600
2011-07,Cluster 1,3122400
2011-08,Cluster 1,3111600
2011-09,Cluster 1,3096900
2011-10,Cluster 1,3083400
2011-11,Cluster 1,3075500
2011-12,Cluster 1,3084000
2012-01,Cluster 1,3122000
2012-02,Cluster 1,3149400
2012-03,Cluster 1,3145400
2012-04,Cluster 1,3123400
2012-05,Cluster 1,3110600
2012-06,Cluster 1,3103500
2012-07,Cluster 1,3123600
2012-08,Cluster 1,3165200
2012-09,Cluster 1,3190900
2012-10,Cluster 1,3196500
2012-11,Cluster 1,3190900
2012-12,Cluster 1,3193300
2013-01,Cluster 1,3203800
2013-02,Cluster 1,3226500
2013-03,Cluster 1,3234400
2013-04,Cluster 1,3222100
2013-05,Cluster 1,3199400
2013-06,Cluster 1,3198600
2013-07,Cluster 1,3211000
2013-08,Cluster 1,3233100
2013-09,Cluster 1,3271500
2013-10,Cluster 1,3312000
2013-11,Cluster 1,3331600
2013-12,Cluster 1,3325100
2014-01,Cluster 1,3327100
2014-02,Cluster 1,3345200
2014-03,Cluster 1,3372100
2014-04,Cluster 1,3405900
2014-05,Cluster 1,3421900
2014-06,Cluster 1,3421800
2014-07,Cluster 1,3422900
2014-08,Cluster 1,3440100
2014-09,Cluster 1,3449300
2014-10,Cluster 1,3454600
2014-11,Cluster 1,3461600
2014-12,Cluster 1,3477200
2015-01,Cluster 1,3475100
2015-02,Cluster 1,3470600
2015-03,Cluster 1,3492000
2015-04,Cluster 1,3520600
2015-05,Cluster 1,3545500
2015-06,Cluster 1,3561000
2015-07,Cluster 1,3567500
2015-08,Cluster 1,3563200
2015-09,Cluster 1,3587200
2015-10,Cluster 1,3634600
2015-11,Cluster 1,3654700
2015-12,Cluster 1,3637700
2011-01,Cluster 10,828300
2011-02,Cluster 10,821900
2011-03,Cluster 10,823500
2011-04,Cluster 10,826600
2011-05,Cluster 10,827200
2011-06,Cluster 10,827100
2011-07,Cluster 10,828000
2011-08,Cluster 10,828700
2011-09,Cluster 10,830100
2011-10,Cluster 10,831700
2011-11,Cluster 10,831700
2011-12,Cluster 10,831500
2012-01,Cluster 10,832300
2012-02,Cluster 10,834700
2012-03,Cluster 10,836300
2012-04,Cluster 10,838900
2012-05,Cluster 10,842400
2012-06,Cluster 10,845600
2012-07,Cluster 10,847900
2012-08,Cluster 10,851000
2012-09,Cluster 10,851900
2012-10,Cluster 10,852300
2012-11,Cluster 10,853200
2012-12,Cluster 10,855200
2013-01,Cluster 10,857800
2013-02,Cluster 10,861500
2013-03,Cluster 10,865300
2013-04,Cluster 10,868500
2013-05,Cluster 10,874200
2013-06,Cluster 10,881700
2013-07,Cluster 10,887900
2013-08,Cluster 10,892100
2013-09,Cluster 10,898000
2013-10,Cluster 10,903300
2013-11,Cluster 10,905600
2013-12,Cluster 10,906100
2014-01,Cluster 10,906900
2014-02,Cluster 10,908400
2014-03,Cluster 10,909600
2014-04,Cluster 10,913400
2014-05,Cluster 10,920300
2014-06,Cluster 10,925200
2014-07,Cluster 10,926300
2014-08,Cluster 10,928800
2014-09,Cluster 10,933300
2014-10,Cluster 10,937900
2014-11,Cluster 10,940300
2014-12,Cluster 10,940300
2015-01,Cluster 10,940700
2015-02,Cluster 10,943800
2015-03,Cluster 10,949400
2015-04,Cluster 10,961100
2015-05,Cluster 10,976100
2015-06,Cluster 10,990300
2015-07,Cluster 10,1004200
2015-08,Cluster 10,1014000
2015-09,Cluster 10,1015600
2015-10,Cluster 10,1013900
2015-11,Cluster 10,1019000
2015-12,Cluster 10,1030800
2011-01,Cluster 11,811500
2011-02,Cluster 11,804800
2011-03,Cluster 11,805600
2011-04,Cluster 11,807300
2011-05,Cluster 11,806500
2011-06,Cluster 11,804900
2011-07,Cluster 11,804400
2011-08,Cluster 11,803100
2011-09,Cluster 11,802600
2011-10,Cluster 11,800500
2011-11,Cluster 11,798700
2011-12,Cluster 11,800400
2012-01,Cluster 11,805000
2012-02,Cluster 11,808200
2012-03,Cluster 11,809400
2012-04,Cluster 11,811000
2012-05,Cluster 11,814600
2012-06,Cluster 11,818800
2012-07,Cluster 11,822600
2012-08,Cluster 11,826700
2012-09,Cluster 11,829100
2012-10,Cluster 11,830200
2012-11,Cluster 11,829800
2012-12,Cluster 11,828600
2013-01,Cluster 11,829800
2013-02,Cluster 11,834700
2013-03,Cluster 11,838900
2013-04,Cluster 11,840800
2013-05,Cluster 11,844900
2013-06,Cluster 11,849700
2013-07,Cluster 11,853900
2013-08,Cluster 11,857900
2013-09,Cluster 11,864000
2013-10,Cluster 11,871400
2013-11,Cluster 11,878800
2013-12,Cluster 11,885000
2014-01,Cluster 11,889700
2014-02,Cluster 11,893500
